"","logFC","logCPM","F","PValue"
"transcript:SPU_022268-tr",-0.0782797678367306,6.06912652496959,1.24039076464887,0.266939268595143
"transcript:SPU_018899-tr",0.0621067479524886,0.409958221364983,0.0305228132771069,0.861513341341406
"transcript:SPU_018898-tr",0.249904751374821,8.55713934002237,18.4064727885178,2.9613995265513e-05
"transcript:SPU_018897-tr",0.0635355995103974,8.17814117375239,1.10059977994079,0.29559648593831
"transcript:SPU_012173-tr",-0.0268586385321021,4.67472209603414,0.0896658439272855,0.764961498274159
"transcript:SPU_000974-tr",0.222650692700434,10.1317471803702,13.7758361683743,0.000277371435756667
"transcript:SPU_022225-tr",-0.0931323459062693,2.1541214320343,0.230584916077721,0.631696488737918
"transcript:SPU_022221-tr",-0.0690741896032012,0.855714766979671,0.0485694743528919,0.825831069016121
"transcript:SPU_022224-tr",-0.278474191391128,4.04441782373404,6.63211273047564,0.010851005910474
"transcript:SPU_028608-tr",0.309184117315615,5.63807834590158,17.2681414736114,5.0925646353186e-05
"transcript:SPU_022333-tr",0.00814653837961817,5.6223116886642,0.0109695254845693,0.916706903571203
"transcript:SPU_022332-tr",-0.220764851829744,4.91347037809911,5.93528555457756,0.0158534508861434
"transcript:SPU_024653-tr",-0.466834154854089,6.54610940885467,43.4201994235491,9.33557416413492e-10
"transcript:SPU_024655-tr",0.329887017526835,5.76034897815044,20.6279715123044,1.04175574427974e-05
"transcript:SPU_024654-tr",0.00316377822714269,3.50470446010841,0.000595164998624088,0.98056804027838
"transcript:SPU_020816-tr",-0.0780141306775022,5.21860139842656,0.897498268639906,0.344773556213936
"transcript:SPU_028342-tr",-0.255161314225477,2.3345100504179,2.04062985843476,0.15494744188882
"transcript:SPU_004353.a-tr",-0.289354470834475,3.31683564549144,4.26290332641955,0.0409220415595854
"transcript:SPU_003678-tr",0.280842517979198,1.45461958295757,1.29829260085922,0.256099028916027
"transcript:SPU_010106-tr",0.0963968645991286,3.15663420111026,0.45905086343133,0.498972105464136
"transcript:SPU_010107-tr",0.0159072317841646,1.10704287758902,0.00325876752035,0.954542811291721
"transcript:SPU_026700-tr",-0.156497981534611,1.89998725296328,0.545544948040413,0.461143660489127
"transcript:SPU_026013-tr",-0.0901538784613431,2.79949686117791,0.337371373268473,0.562105629853973
"transcript:SPU_025325-tr",-0.441872269540997,6.6176551734728,37.7378009798839,1.86491196094081e-08
"transcript:SPU_028671-tr",0.117156920923854,9.56237607126983,3.56464546429938,0.0607858348839029
"transcript:SPU_028673-tr",-0.0840115793061747,3.97105247505604,0.61025782286166,0.435757438268426
"transcript:SPU_014370-tr",0.474901438877534,1.96138007575255,5.58831182448771,0.0191888978391695
"transcript:SPU_028672-tr",-0.0931664379146437,2.16810639564854,0.231873686164122,0.630745948499447
"transcript:SPU_014369-tr",0.0886825588842071,5.46930953076014,1.3546181749505,0.246073498633927
"transcript:SPU_021498-tr",-0.0850923679278894,3.1305544783588,0.358251178477217,0.550261210202762
"transcript:SPU_024734-tr",0.118657345377817,0.107465255140987,0.0873451578089388,0.767933845109086
"transcript:SPU_024735-tr",0.0176691160410893,3.31594963698353,0.0184363177811952,0.892152596826217
"transcript:SPU_008848-tr",0.474221013521535,1.41630600741808,3.7887330908758,0.0532169245253379
"transcript:SPU_014880-tr",1.15730986169314,0.351704446277996,7.84633975405215,0.00600969417004735
"transcript:SPU_010038-tr",0.0966991185021287,2.33151547993079,0.283841559199659,0.594877323681945
"transcript:SPU_009418-tr",0.0701041179270056,4.29040080767474,0.488179727557625,0.485677718317635
"transcript:SPU_009417-tr",0.243302514076981,3.98783129673359,5.01363439542677,0.0264216773076949
